GPT Prompt,Correct Output,GPT Output,Type of Community
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: what we have here is a failure to communicate. im bi racial blk father white mom. ohhh like the former president. Im 51 years old and im tired of hearing a 20 ish asshole talk about because im black blah blah. im embarressed.",TRUE,TRUE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: https://www.youtube.com/watch?v=4jPu-T4D99Y
https://www.youtube.com/watch?v=Gpw819uR_8M
https://www.youtube.com/watch?v=Gpw819uR_8M&t=478s",FALSE,FALSE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: @NeonPenDragon 


Dude ... this is horrific!!! Plus, it is in the news!!!! TYT covers national news!!!!! WTF is wrong with you?",TRUE,TRUE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: Obviously the results of too much inbreeding.
Phil, you are an odious human being.",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: all police are lacking something in character and awareness but these white trash sociopaths in America for the most part are subhuman. No sensible person would act this way. It would be startling to get an accurate number of serial killers in the police force and the number of million dollars that are paid to innocent families and indivduals each year nation wide but I imagine internally embarrassing information like this is discarded or ignored.",TRUE,TRUE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: Why would God bring a new book that changes everything about the original law that he said would stand forever?  For example, why don't Muslims follow the Sabbath?  The Quran says that it's revelation is based in prophecies from the bible, but it can't prove it because the Bible has been changed.  Do some study and research, and compare the two books, the Bible and the Quran.  See for yourself which one is a true revelation.  Then it will become really clear.",FALSE,FALSE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: Judaism, Islam, and Christianity are all peaceful religion, that are very similar when actually read the Torah, Qur'an and Bible. 
The Church, Extremist muslims, and Zionists don't respect their own religion. All three hurt people with their own way. The first calls for hate, the second bombs, and the last occupy countries and kills it's people.",TRUE,TRUE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: Pathetic. This country has thrown justice out the window so many times. A violent black man???? Interesting comment from a newscaster. If this was a white man they wouldn't have put handcuffs on him. What else isnt new. groan...",TRUE,TRUE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: You tell it sister . God calls homosexuality a vile lust worthy of hell . New and Old Testament affirm that he hates it",FALSE,FALSE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: Hitler had a lot of interest in India because he was looking for the perfect arian people. He invaded Norway after world war 2 started so their is no point in using that point and he hated communism and Russia was a communist state and yes he wanted their oil the same way Britain and America steal the oil from Iraq and Afghanistan.",FALSE,FALSE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: What kind of God is it that Hates people & Curses them? What kind of people believe in such a God? Is this one of the roots of IslamicFundamentalism? What will happen when Muslims have xterminated all the Jews? Will they find others that their God Hates & Persecute them also? What a strange religion! It seems to be a religion of Hatred. Muslims seem to hate all those not of their faith.With such religious beliefs there can never be peace among mankind.",TRUE,TRUE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: I agree with that woman 100 percent. I love the white ladies more than anything else.",FALSE,FALSE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: Fuck you racist Dude with the receding fucking hairline, someone should’ve swung on his ass...",TRUE,TRUE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: I don't understand if you are a preacher of God, the being who is supposed to be loving and kind, and tells his followers to be the same, how can you be so hateful towards your fellow man following God's teachings? Excluding people? Hating people?  It makes no logical sense.",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: sounds like he's mad because he's worried about other people getting in on his child rape",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: To that caller... He is Only getting more people saved and he has God on his side!",FALSE,FALSE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: You dont have the right to tell any living thing on the earth who is to be blessed or who is to be not.. only Allah knows..",TRUE,TRUE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: I would like to see this whole message, does anyone have this full teaching on YouTube?",FALSE,FALSE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: Wow...this guy hates people for 1 line in a book of unproven ancient text...not like said book says to not hate people, or to be kind. Or that you shouldnt fuck before youre married...yeah i see your highschool years dont lie about it. This is so stupid",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: Why does it matter what skin color the guy was. The Young Turks are a bunch of Racists trying to push their liberal agenda.",FALSE,FALSE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: our god is a merciful god?  where's the love?  and we wonder why the whole damn country is turning away from christianity at record numbers.  GEE I WONDER WHY",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: Man thats sad i dont even wanna live no more fr its like being black is bad for white cops now like damn we all the same. We all human seein this just make me mad seeing cops beat on black people and come up to any black guy and say can i see your id like damn we black so what we people😭😭",TRUE,TRUE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: Celibacy instead of happiness. Sounds wonderful. Are you allowed to masturbate? Your self-imposed ""Christian"" prison is a sham and it's pathetic. Enjoy it, but don't you dare sell it as something desirable...especially to people WITHOUT God delusions. - Life's too short for your brand of faith-based bigotry!",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: This nut job is all the more reason we should stop sticking our nose between the Islamic nuts and Israel. Enough Americans have died because of their war. Leave us out.",TRUE,TRUE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: What does their shirts say in Hebrew?",FALSE,FALSE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: I have been saying this very same thing for years and finally found wording to back my stance up. Homosexuality is a weakness a mental disease and no more. nothing natural, god made or innate. And I shall treat the mentally diseased as such.

According to the American Psychiatric Association, until 1974 homosexuality was a mental illness.  Freud had alluded to homosexuality numerous times in his writings, and had concluded that paranoia and homosexuality were inseparable.  Other psychiatrists wrote copiously on the subject, and homosexuality was “treated” on a wide basis.  There was little or no suggestion within the psychiatric community that homosexuality might be conceptualized as anything other than a mental illness that needed to be treated.  And, of course, homosexuality was listed as a mental illness in DSM-II.

Then in 1970 gay activists protested against the APA convention in San Francisco. These scenes were repeated in 1971, and as people came out of the “closet” and felt empowered politically and socially, the APA directorate became increasingly uncomfortable with their stance.  
In 1973 the APA’s nomenclature task force recommended that homosexuality be declared normal.  The trustees were not prepared to go that far, but they did vote to remove homosexuality from the list of mental illnesses by a vote of 13 to 0, with 2 abstentions.  This decision was confirmed by a vote of the APA membership, and homosexuality was no longer listed in the seventh edition of DSM-II, which was issued in 1974.

What’s noteworthy about this is that the removal of homosexuality from the list of mental illnesses was not triggered by some scientific breakthrough.  {There was no new fact or set of facts that stimulated this major change.  Rather, it was the simple reality that gay people started to kick up a fuss.}
They gained a voice (became political) and began to make themselves heard.  
And the APA reacted with truly astonishing speed.  And with good reason. They realized intuitively that a protracted battle would have drawn increasing attention to the spurious nature of their entire taxonomy.  So they quickly “cut loose” the gay community and forestalled any radical scrutiny of the DSM system generally.

The APA claimed that they made the change because new research showed that most homosexual people were content with their sexual orientation, and that as a group, they appeared to be as well-adjusted as heterosexual people.

To sum it up, it is still a mental disease to be homosexual.",FALSE,FALSE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: Amen a true man of God",FALSE,FALSE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: If you're not angry you're not paying attention! This is an American citizen they're doing this to! There is no cop that should ever put his hands on you without telling you why he's putting his hands on you and presenting your papers is not a reason!",TRUE,TRUE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: Kirk Cameron is a dick head.",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: @benympls

Source",FALSE,FALSE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: Who cares?",FALSE,FALSE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: Its not that nonbelievers don't believe in God,more that they don't believe Muhammad is the messenger of God.",FALSE,FALSE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: I pray that Kevin Durant burns in hell for betraying the Oklahoma City Thunder!",FALSE,FALSE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: We still on the plantation, give me a fuckin break..bunch of zombies listening to they're racist ""leaders"" kill the white man he is what is wrong with our culture...please",TRUE,TRUE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: calm the fuck down satan. these are the false prophets that every one is so quick to call out.",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: I'm sorry to everyone that deals with racism.....those little honkey ass kids I wish my kids would say something like that to someone I would whoop there ass till it's red",TRUE,TRUE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: Whatever it is, its terribly ungodly to curse your own creation.",TRUE,TRUE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: @outoftunefiddler Keep dreaming trailer park trash",FALSE,FALSE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: I wish that ugly bitch said that in my face. I would punch that ugly hate out of her. Disgusting cow",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: Omg, this guy is so extremely crazy. How is it people can be so delusional that they believe this crap? Or is it that he makes money off religion? I think it highly likely that he does.",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: Hrmnn, a modern day voice shouting in the wilderness that everybody calls insane. Only the wicked would be hurt and curse back, the righteous would simply pray for the man's soul. He be right or wrong, only God knows. Who's god you ask? We'll that is the question, isn't it?!.",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: duh,anyone that things  2 of the same sex of any species is natural is just illogical",FALSE,FALSE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: The other guy who was allegedly petting a girls hand was bloodied and the guy who was attacking the bloodied man when the cops arrived was rightfully put in cuffs.  This is race baiting liberal media and this is a perfect example of just how professional these cops actually are and how far away they are from being bad cops as you seem to want them to be",FALSE,FALSE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: Her kids are gonna be some fucking faggots",TRUE,TRUE,Black
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: God bless that man in the sunglasses for calling out the Jewish parasites. Jews were the cheerleaders for the invasion of Iraq and Lybia. They tried to do the same to Syria because Assad didn't want to sign their stupid oil pipeline deal. Fortunately Russia stood up for Syria against ISIS (Israeli Secret Intelligence Service)",FALSE,FALSE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: Kirk Cameron's movies are an abomination in the eyes of taste...",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: What a good Christian",FALSE,FALSE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: WHO SAYS THAT?! This guy has a fucking problem.",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: How can god make discrimination against particular people ? Quran says god was merciful  , if he was so partially , how can we call him God?",TRUE,TRUE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: Fuck this asshole.",TRUE,TRUE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Jewish community, has the following comment: Judging by the views and rates on this video when compared to other videos, I'm sad to see such a stark difference; an evident sign of double standards within people who pretend to be tolerant. 

What makes a Jewish person any different from a Muslim?  They're all human. I bet this nonsense bigotry has something to do with the belief that today's Jews somehow are responsible for the death of Christ, or that everyone assumes zionism equals Judaism. 

To you two-faced people... Shame on you. Shame on you for PRETENDING to be tolerant.",TRUE,TRUE,Jewish
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the LGBT community, has the following comment: So.... Kim Burrell prophesied Bishop Eddie Longs death. And a month later he's dead. Wow 😮 if that's not a wake up call for homosexuals in the church. I don't know what is.",FALSE,FALSE,LGBT
"You are an assistant that is meant to determine whether the comment mentioned in the user message is an example of counterspeech. Counterspeech is defined as a response or comment that counters hateful or harmful speech/ideas. Respond with true or false. A YouTube Video, which contains hateful content that targets the Black community, has the following comment: @Mattm1986 Heres one for you,,,Today the Mayor of Philadelphia instituted a 9 pm curfew designed to combat those ""violent flash mobs"" (his words) which you claim dont exist. He also said that those youth involved should ,,stop covering up with their hoods,,pull their pants up, and stop making their race look bad,,,,how racist of him!!!!
lol",TRUE,TRUE,Black
